Esporte Clube Bahia;Bahia;BRA
Roger Machado;BRA;
#004F93;#DF331B;481
Douglas Friedrich;G;BRA
Anderson;G;BRA
Fernando Castro;G;BRA
Ernando;D;BRA
Juninho;D;BRA
Lucas Fonseca;D;BRA
Wanderson;D;BRA
Juninho Capixaba;D;BRA
Zeca;D;BRA
João Pedro;D;BRA
Nino Paraíba;D;BRA
Giovanni;D;BRA
Gregore;M;BRA
Elton;M;BRA
Flávio;M;BRA
Ronaldo;M;BRA
Jádson;M;BRA
Rodriguinho;M;BRA
Daniel;M;BRA
Régis;M;BRA
Clayson;F;BRA
Arthur Caíke;F;BRA
Élber;F;BRA
Rossi;F;BRA
Gilberto;F;BRA
Fernandão;F;BRA
