Sport Club Corinthians Paulista;Corinthians;BRA
Tiago Nunes;BRA;
#FFFFFF;#000000;555
Cássio;G;BRA
Walter;G;BRA
Matheus Donelli;G;BRA
Léo Santos;D;BRA
Gil;D;BRA
Danilo Avelar;D;BRA
Bruno Méndez;D;URU
Pedro Henrique;D;BRA
Sidcley;D;BRA
Carlos Augusto;D;BRA
Fágner;D;BRA
Míchel;D;BRA
Gabriel;M;BRA
Éderson;M;BRA
Richard;M;BRA
Víctor Cantillo;M;COL
Guilherme Camacho;M;BRA
Ramiro;M;BRA
Mateus Vital;M;BRA
Everaldo;F;BRA
Pedrinho;F;BRA
Janderson;F;BRA
Yony González;F;COL
Luan;F;BRA
Mauro Boselli;F;ARG
Vágner Love;F;BRA
