Clube Atlético Mineiro;Atlético-MG;BRA
Jorge Sampaoli;ARG;
#221E20;#FFFFFF;517
Victor;G;BRA
Michael;G;BRA
Rafael;G;BRA
Igor Rabello;D;BRA
Gabriel;D;BRA
Réver;D;BRA
Guilherma Arana;D;BRA
Lucas Hernández;D;URU
Fábio Santos;D;BRA
Guga;D;BRA
Maílton;D;BRA
Patric;D;BRA
Jair;M;BRA
Ramón Martínez;M;PAR
José Welison;M;BRA
Allan;M;BRA
Marquinhos;M;BRA
Juan Cazares;M;ECU
Hyoran;M;BRA
Rómulo Otero;F;VEN
Maicon;F;BRA
Nathan;F;BRA
Jefferson Savarino;F;VEN
Diego Tardelli;F;BRA
Franco Di Santo;F;BRA
Ricardo Oliveira;F;BRA
