Avaí Futebol Clube;Avaí;BRA
Rodrigo Santana;BRA;
#0154A0;#FFFFFF;370
Gledson;G;BRA
Lucas Frigeri;G;BRA
Betão;D;BRA
Airton;D;BRA
Arnaldo;D;BRA
Capa;D;BRA
Leonan;D;BRA
Zé Marcos;D;BRA
Rafael Pereira;D;BRA
Ramon Pereira;D;BRA
Wesley;M;BRA
Bruno Silva;M;BRA
Adryan;M;BRA
Pedro Castro;M;BRA
Valdívia;M;BRA
Jean;M;BRA
Gustavo Poffo;M;BRA
Da Silva;M;BRA
Renato;M;BRA
Kelvin;F;BRA
Rildo;F;BRA
Gastón Rodríguez;F;URU
Vinícius Jaú;F;BRA
Alexandre Alemão;F;BRA
Lourenço;F;BRA
Jonathan;F;BRA
