Name;Position;Nation
Cruzeiro Esporte Clube;Cruzeiro;BRA
Enderson Moreira;BRA;
#005AA0;#FFFFFF;418
Fábio;G;BRA
Vitor Eudes;G;BRA
Vinicius;G;BRA
Cacá;D;BRA
Léo;D;BRA
Ramon;D;BRA
Marllon;D;BRA
Arthur Henrique;D;BRA
João Lucas;D;BRA
Rafael Santos;D;BRA
Edílson;D;BRA
Valdir;D;BRA
Jean;M;BRA
Machado;M;BRA
Ariel Cabral;M;ARG
Jadsom;M;BRA
Robinho;M;BRA
Mauricio;M;BRA
Jhonata Robert;F;BRA
Iván Ângulo;F;COL
Everton Felipe;F;BRA
Judivan;F;BRA
Welinton;F;BRA
Marcelo Moreno;F;BOL
Roberson;F;BRA
Thiago;F;BRA
