Club de Regatas Vasco da Gama;Vasco da Gama;BRA
Ramon Menezes;BRA;
#FFFFFF;#000000;501
Fernando Miguel;G;BRA
Jordi;G;BRA
Lucão;G;BRA
Leandro Castán;D;BRA
Ricardo Graça;D;BRA
Werley;D;BRA
Miranda;D;BRA
Ulisses;D;BRA
Henrique;D;BRA
Alexandre;D;BRA
Yago Pikachu;D;BRA
Cayo Tenório;D;BRA
Bruno Gomes;M;BRA
Raul;M;BRA
Marcos Júnior;M;BRA
Fredy Guarín;M;COL
Andrey;M;BRA
Fellipe Bastos;M;BRA
Marrony;F;BRA
Lucas Santos;F;BRA
Martín Benítez;F;ARG
Gabriel Pec;F;BRA
Talles Magno;F;BRA
Germán Cano;F;ARG
Ribamar;F;BRA
Tiago Reis;F;BRA
