Burnley Football Club;Burnley;ENG
Sean Dyche;ENG;
#6A013A;#89D3F3;712
Joe Hart;G;ENG
Nick Pope;G;ENG
Adam Legzdins;G;ENG
Bailey Peacock-Farrell;G;NIR
Matthew Lowton;D;ENG
Charlie Taylor;D;ENG
James Tarkowski;D;ENG
Ben Mee;D;ENG
Ben Gibson;D;ENG
Erik Pieters;D;NED
Phil Bardsley;D;SCO
Kevin Long;D;IRL
Jack Cork;M;ENG
Josh Brownhill;M;ENG
Robbie Brady;M;IRL
Jeff Hendrick;M;IRL
Ashley Westwood;M;ENG
Johann Berg Gudmundsson;F;ISL
Aaron Lennon;F;ENG
Ashley Barnes;F;ENG
Chris Wood;F;NZL
Jay Rodríguez;F;ENG
Matej Vydra;F;CZE
Dwight McNeil;F;ENG
