Chelsea Football Club;Chelsea;ENG
Frank Lampard;ENG;
#034694;#FFFFFF;855
Kepa Arrizabalaga;G;ESP
Willy Caballero;G;ARG
Jamie Cumming;G;ENG
Antonio Rüdiger;D;GER
Marcos Alonso;D;ESP
Kurt Zouma;D;FRA
Reece James;D;ENG
Andreas Christensen;D;DEN
César Azpilicueta;D;ESP
Fikayo Tomori;D;ENG
Emerson;D;BRA
Jorginho;M;ITA
N'Golo Kanté;M;FRA
Ross Barkley;M;ENG
Ruben Loftus-Cheek;M;ENG
Mateo Kova?i?;M;CRO
Mason Mount;M;ENG
Billy Gilmour;M;SCO
Christian Pulisic;F;USA
Tammy Abraham;F;ENG
Willian;F;BRA
Pedro;F;ESP
Olivier Giroud;F;FRA
Callum Hudson-Odoi;F;ENG
Michy Batshuayi;F;BEL
