Norwich City Football Club;Norwich City;ENG
Nigel Pearson;ENG;
#FFF200;#00A64F;616
Tim Krul;G;NED
Michael McGovern;G;NIR
Max Aarons;D;ENG
Sam Byram;D;ENG
Ben Godfrey;D;ENG
Grant Hanley;D;SCO
Christoph Zimmermann;D;GER
Jamal Lewis;D;NIR
Timm Klose;D;SUI
Lukas Rupp;M;GER
Mario Vrancic;M;BIH
Moritz Leitner;M;GER
Todd Cantwell;M;ENG
Marco Stiepermann;M;GER
Tom Trybull;M;GER
Kenny McLean;M;SCO
Ondrej Duda;M;SVK
Alexander Tettey;M;NOR
Onel Hernández;F;CUB
Emiliano Buendía;F;ARG
Josip Drmic;F;SUI
Teemu Pukki;F;FIN
