Southampton Football Club;Southampton Football Club;ENG
Ralph Hasenhüttl;AUT;
#ED1A3B;#FFFFFF;683
Alex McCarthy;G;ENG
Angus Gunn;G;ENG
Jannik Vestergaard;D;DEN
Jack Stephens;D;ENG
Ryan Bertrand;D;ENG
Kyle Walker-Peters;D;ENG
Jan Bednarek;D;POL
Kevin Danso;D;AUT
Yan Valery;D;FRA
Sam McQueen;D;ENG
Oriol Romeu;M;ESP
James Ward-Prowse;M;ENG
Stuart Armstrong;M;SCO
Pierre-Emile Höjbjerg;M;DEN
Moussa Djenepo;F;MLI
Sofiane Boufal;F;MAR
Nathan Redmond;F;ENG
Shane Long;F;IRL
Danny Ings;F;ENG
Che Adams;F;ENG
Michael Obafemi;F;IRL
