West Ham United Football Club;West Ham;ENG
David Moyes;SCO;
#7B2B3A;#2DAFE5;673
Lukasz Fabianski;G;POL
David Martin;G;ENG
Darren Randolph;G;IRL
Aaron Cresswell;D;ENG
Fabián Balbuena;D;PAR
Pablo Zabaleta;D;ARG
Gonçalo Cardoso;D;POR
Angelo Ogbonna;D;ITA
Issa Diop;D;FRA
Ryan Fredericks;D;ENG
Arthur Masuaku;D;COD
Manuel Lanzini;M;ARG
Carlos Sánchez;M;COL
Mark Noble;M;ENG
Pablo Fornals;M;ESP
Jack Wilshere;M;ENG
Tomas Soucek;M;CZE
Declan Rice;M;ENG
Michail Antonio;F;ENG
Robert Snodgrass;F;SCO
Felipe Anderson;F;BRA
Andriy Yarmolenko;F;UKR
Jarrod Bowen;F;ENG
Sébastien Haller;F;FRA
Albian Ajeti;F;SUI
