Juventus Football Club;Juventus;ITA
Maurizio Sarri;ITA;
#000000;#FFFFFF;843
Wojciech Szczesny;G;POL
Carlo Pinsoglio;G;ITA
Gianluigi Buffon;G;ITA
Mattia De Sciglio;D;ITA
Giorgio Chiellini;D;ITA
Matthijs de Ligt;D;NED
Alex Sandro;D;BRA
Danilo;D;BRA
Leonardo Bonucci;D;ITA
Daniele Rugani;D;ITA
Merih Demiral;D;TUR
Miralem Pjanic;M;BIH
Sami Khedira;M;GER
Aaron Ramsey;M;WAL
Blaise Matuidi;M;FRA
Adrien Rabiot;M;FRA
Rodrigo Bentancur;M;URU
Douglas Costa;F;BRA
Juan Cuadrado;F;COL
Cristiano Ronaldo;F;POR
Paulo Dybala;F;ARG
Gonzalo Higuaín;F;ARG
Federico Bernardeschi;F;ITA
