Club Atlético de Madrid;Atlético de Madrid;ESP
Diego Simeone;ARG;
#B03829;#FEFEFE;838
Antonio Adán;G;ESP
Jan Oblak;G;SVN
José Giménez;D;URU
Santiago Arias;D;COL
Renan Lodi;D;BRA
Stefan Savic;D;MNE
Felipe;D;BRA
Mario Hermoso;D;ESP
Kieran Trippier;D;ENG
Sime Vrsaljko;D;CRO
Thomas Partey;M;GHA
Koke;M;BRA
Saúl Ñíguez;M;BRA
Marcos Llorente;M;BRA
Héctor Herrera;M;MEX
Thomas Lemar;F;FRA
Vitolo;F;ESP
Yannick Carrasco;F;BEL
João Félix;F;POR
Álvaro Morata;F;ESP
Ángel Correa;F;ARG
Ivan Saponjic;F;SRB
Diego Costa;F;ESP
