Futbol Club Barcelona;Barcelona;ESP
Quique Setién;ESP;
#004B94;#A4224B;903
Marc-André ter Stegen;G;GER
Neto;G;BRA
Nélson Semedo;D;POR
Gerard Piqué;D;ESP
Clément Lenglet;D;FRA
Jordi Alba;D;ESP
Sergi Roberto;D;ESP
Samuel Umtiti;D;FRA
Júnior Firpo;D;ESP
Ivan Rakitic;M;CRO
Sergio Busquets;M;ESP
Arthur;M;BRA
Frenkie de Jong;M;NED
Arturo Vidal;M;CHI
Riqui Puig;M;ESP
Luis Suárez;F;URU
Lionel Messi;F;ARG
Ousmane Dembélé;F;FRA
Antoine Griezmann;F;FRA
Martin Braithwaite;F;DEN
Ansu Fati;F;ESP
