Getafe Club de Fútbol;Getafe;ESP
Pepe Bordalás;ESP;
#165BA1;#FFFFFF;813
Leandro Chichizola;G;ARG
David Soria;G;ESP
Filip Manojlovic;G;SRB
Djené;D;TOG
Vitorino Antunes;D;POR
Erick Cabaco;D;URU
Chema;D;ESP
Allan Nyom;D;CAM
Xabi Etxeita;D;ESP
Mathías Olivera;D;URU
Damián Suárez;D;URU
Marc Cucurella;M;ESP
Oghenekaro Etebo;M;NGA
Mauro Arambarri;M;URU
Nemanja Maksimovic;M;SRB
Fayçal Fajr;M;MAR
Kenedy;M;BRA
Francisco Portillo;F;ESP
Jason;F;ESP
David Timor;F;ESP
Jaime Mata;F;ESP
Ángel Rodríguez;F;ESP
Amath Ndiaye;F;SEN
Deyverson;F;BRA
Jorge Molina;F;ESP
