Real Madrid Club de Fútbol;Real Madrid;ESP
Zinédine Zidane;FRA;
#FFFFFF;#004996;895
Alphonse Areola;G;FRA
Thibaut Courtois;G;BEL
Daniel Carvajal;D;ESP
Éder Militão;D;BRA
Sergio Ramos;D;ESP
Raphaël Varane;D;FRA
Nacho Fernández;D;ESP
Marcelo;D;BRA
Ferland Mendy;D;FRA
Toni Kroos;M;GER
Luka Modric;M;CRO
Casemiro;M;BRA
Federico Valverde;M;URU
James Rodríguez;M;COL
Isco;M;ESP
Brahim Díaz;M;ESP
Reinier;M;BRA
Lucas Vázquez;F;ESP
Eden Hazard;F;BEL
Karim Benzema;F;FRA
Gareth Bale;F;WAL
Luka Jovic;F;SRB
Marco Asensio;F;ESP
Mariano Díaz;F;DOM
Vinícius Júnior;F;BRA
Rodrygo;F;BRA
