Sevilla Fútbol Club;Sevilla;ESP
Julen Lopetegui;ESP;
#FFFFFF;#CA0F20;803
Tomas Vaclik;G;CZE
Bono;G;MAR
Javi Díaz;G;ESP
Sergi Gómez;D;ESP
Jules Koundé;D;FRA
Jesús Navas;D;ESP
Sergio Escudero;D;ESP
Diego Carlos;D;BRA
Sergio Reguilón;D;ESP
Éver Banega;M;ARG
Nemanja Gudelj;M;SRB
Óliver Torres;M;ESP
Franco Vázquez;M;ARG
Joan Jordán;M;ESP
Fernando;M;BRA
Lucas Ocampos;F;ARG
Suso;F;ESP
Rony Lopes;F;POR
Nolito;F;ESP
Munir El Haddadi;F;ESP
Youssef En-Nesyri;F;MAR
Luuk de Jong;F;NED
